Yard,Date of Detection,Time of Detection,Species Detected,Number of the Species Detected in the Photo,Sunset Time,Sunrise Time,Number of Bird Feeders,Area of Garden (m^2),Fence Type,Poultry Presence,Relative Abundance of Dogs,Relative Abundance of Predators,Forest Cover within 400m of camera (km^2),Open Land Cover within 400m of camera (km^2),Agricultural Land Cover within 400m of camera (km^2),Developed Land Cover within 400m of camera (km^2),Maximum Housing Unit Density within a 400m buffer (Houses/km^2),Year,Simpson Diversity,Richness,Mesopredator Richness,Meso_Diversity,Herb_Richness,Herb_Div,Forest Cover within 1.5km of camera (km^2),Open Land Cover within 1.5km of camera (km^2),Agricultural Land Cover within 1.5km of camera (km^2),Developed Land Cover within 1.5km of camera (km^2) (High and Medium),Developed Land Cover within 1.5km of camera (km^2) (Low),Number of Water Sources,Area of Potential Den Sites (m^2),Volume of Brush Piles (m^3),Volume of Firewood Piles (m^3),Area of Compost Piles (m^2),Temperature 1,Temperature 2,Temperature 3,Temperature 4,Temperature 5,Temperature 6,Temperature 7,Temperature 8,Temperature 9,Temperature 10,Temperature 11,Temperature 12,Temperature 13,Temperature 14,Temperature 15,Precipitation 1,Precipitation 2,Precipitation 3,Precipitation 4,Precipitation 5,Precipitation 6,Precipitation 7,Precipitation 8,Precipitation 9,Precipitation 10,Precipitation 11,Precipitation 12,Precipitation 13,Precipitation 14,Precipitation 15
29,2/9/2021,2:27:46,Nine-banded Armadillo,1,17:52,7:11,3,65,0,0,0,0,0.00816,0.163026,0,0.331302,2680.95,2021,0.944699952,9,4,0.773989899,3,0.023486902,0.00816,0.163026,0,0.079897,0.251405,3,3.2,65,0,0,58.5,66.6,69.5,62.4,75.1,79.6,75,77,75.7,74.7,75.8,82,76.3,82.4,77.5,77.5,1,2,3,4,5,6,7,8,9,1,11,12,13,14
29,2/10/2021,3:49:27,White-tailed Deer,1,17:54,7:10,3,65,0,0,0,0,0.00816,0.163026,0,0.331302,2680.95,2021,0.944699952,9,4,0.773989899,3,0.023486902,0.00816,0.163026,0,0.079897,0.251405,3,3.2,65,0,0,58.5,66.6,69.5,62.4,75.1,79.6,75,77,75.7,74.7,75.8,82,76.3,82.4,77.5,77.5,1,2,3,4,5,6,7,8,9,1,11,12,13,14
29,2/11/2021,4:07:03,45 Opossum,1,17:55,7:09,3,65,0,0,0,0,0.00816,0.163026,0,0.331302,2680.95,2021,0.944699952,9,4,0.773989899,3,0.023486902,0.00816,0.163026,0,0.079897,0.251405,3,3.2,65,0,0,58.5,66.6,69.5,62.4,75.1,79.6,75,77,75.7,74.7,75.8,82,76.3,82.4,77.5,77.5,1,2,3,4,5,6,7,8,9,1,11,12,13,14
29,2/12/2021,0:28:06,Domestic Cat,1,17:56,7:08,3,65,0,0,0,0,0.00816,0.163026,0,0.331302,2680.95,2021,0.944699952,9,4,0.773989899,3,0.023486902,0.00816,0.163026,0,0.079897,0.251405,3,3.2,65,0,0,58.5,66.6,69.5,62.4,75.1,79.6,75,77,75.7,74.7,75.8,82,76.3,82.4,77.5,77.5,1,2,3,4,5,6,7,8,9,1,11,12,13,14
29,2/20/2021,2:17:54,Domestic Cat,1,18:04,6:59,3,65,0,0,0,0,0.00816,0.163026,0,0.331302,2680.95,2021,0.944699952,9,4,0.773989899,3,0.023486902,0.00816,0.163026,0,0.079897,0.251405,3,3.2,65,0,0,58.5,66.6,69.5,62.4,75.1,79.6,75,77,75.7,74.7,75.8,82,76.3,82.4,77.5,77.5,1,2,3,4,5,6,7,8,9,1,11,12,13,14
29,2/20/2021,2:21:49,Domestic Cat,1,18:04,6:59,3,65,0,0,0,0,0.00816,0.163026,0,0.331302,2680.95,2021,0.944699952,9,4,0.773989899,3,0.023486902,0.00816,0.163026,0,0.079897,0.251405,3,3.2,65,0,0,58.5,66.6,69.5,62.4,75.1,79.6,75,77,75.7,74.7,75.8,82,76.3,82.4,77.5,77.5,1,2,3,4,5,6,7,8,9,1,11,12,13,14
29,2/20/2021,3:39:23,White-tailed Deer,1,18:04,6:59,3,65,0,0,0,0,0.00816,0.163026,0,0.331302,2680.95,2021,0.944699952,9,4,0.773989899,3,0.023486902,0.00816,0.163026,0,0.079897,0.251405,3,3.2,65,0,0,58.5,66.6,69.5,62.4,75.1,79.6,75,77,75.7,74.7,75.8,82,76.3,82.4,77.5,77.5,1,2,3,4,5,6,7,8,9,1,11,12,13,14
29,2/20/2021,3:46:52,White-tailed Deer,1,18:04,6:59,3,65,0,0,0,0,0.00816,0.163026,0,0.331302,2680.95,2021,0.944699952,9,4,0.773989899,3,0.023486902,0.00816,0.163026,0,0.079897,0.251405,3,3.2,65,0,0,58.5,66.6,69.5,62.4,75.1,79.6,75,77,75.7,74.7,75.8,82,76.3,82.4,77.5,77.5,1,2,3,4,5,6,7,8,9,1,11,12,13,14
29,2/20/2021,3:39:50,White-tailed Deer,2,18:04,6:59,3,65,0,0,0,0,0.00816,0.163026,0,0.331302,2680.95,2021,0.944699952,9,4,0.773989899,3,0.023486902,0.00816,0.163026,0,0.079897,0.251405,3,3.2,65,0,0,58.5,66.6,69.5,62.4,75.1,79.6,75,77,75.7,74.7,75.8,82,76.3,82.4,77.5,77.5,1,2,3,4,5,6,7,8,9,1,11,12,13,14
29,2/26/2021,1:07:05,45 Opossum,1,18:09,6:51,3,65,0,0,0,0,0.00816,0.163026,0,0.331302,2680.95,2021,0.944699952,9,4,0.773989899,3,0.023486902,0.00816,0.163026,0,0.079897,0.251405,3,3.2,65,0,0,58.5,66.6,69.5,62.4,75.1,79.6,75,77,75.7,74.7,75.8,82,76.3,82.4,77.5,77.5,1,2,3,4,5,6,7,8,9,1,11,12,13,14
