Yard,Date of Detection,Time of Detection,Species Detected,Number of the Species Detected in the Photo
25,2/8/2021,17:43:01,Groundhog,1
29,2/8/2021,23:46:00,Nine-banded Armadillo,1
29,2/10/2021,17:40:40,Groundhog,1
29,2/11/2021,11:08:11,Domestic Cat,1
29,2/11/2021,18:49:43,Groundhog,1
29,2/11/2021,21:11:07,45 Opossum,1
29,2/12/2021,15:49:00,Bird,1
29,2/12/2021,10:55:47,Domestic Cat,1
29,2/12/2021,14:40:54,Domestic Cat,1
29,2/13/2021,8:08:29,Domestic Cat,1
29,2/13/2021,8:54:16,Domestic Cat,1
29,2/13/2021,18:17:54,Domestic Cat,1
29,2/13/2021,17:10:56,Groundhog,1
29,2/15/2021,9:54:10,Domestic Cat,1
29,2/15/2021,11:29:08,Domestic Cat,1
29,2/15/2021,15:56:43,Domestic Cat,1
29,2/15/2021,16:44:59,Domestic Cat,1
29,2/16/2021,8:06:15,Bird,1
29,2/16/2021,10:05:09,Bird,1
29,2/16/2021,12:43:28,Bird,1
29,2/17/2021,8:53:31,Bird,1
29,2/17/2021,11:33:53,Bird,1
29,2/17/2021,12:00:59,Domestic Cat,1
29,2/17/2021,13:08:34,Domestic Cat,1
29,2/18/2021,13:19:38,Bird,1
29,2/18/2021,16:20:00,Bird,1
29,2/18/2021,8:17:37,Domestic Cat,1
29,2/18/2021,9:11:49,Domestic Cat,1
29,2/18/2021,15:34:31,Domestic Cat,1
29,2/18/2021,15:55:17,Domestic Cat,1
29,2/18/2021,19:47:05,Domestic Cat,1
29,2/18/2021,11:37:41,Gray Squirrel,1
29,2/19/2021,10:42:03,Domestic Cat,1
29,2/19/2021,10:56:16,Domestic Cat,1
29,2/19/2021,11:08:18,Domestic Cat,1
29,2/19/2021,16:07:50,Domestic Cat,1
29,2/19/2021,20:49:10,Domestic Cat,1
29,2/19/2021,18:19:47,Groundhog,1
29,2/19/2021,19:46:32,Groundhog,1
29,2/19/2021,17:01:14,Person,1
29,2/20/2021,9:39:41,Domestic Cat,1
29,2/20/2021,9:04:10,Person,1
29,2/21/2021,10:54:18,Domestic Cat,1
29,2/21/2021,12:02:38,Domestic Cat,1
29,2/21/2021,12:19:55,Domestic Cat,1
29,2/21/2021,16:06:22,Person,1
29,2/22/2021,11:10:58,Domestic Cat,1
29,2/22/2021,17:03:44,Domestic Cat,1
29,2/22/2021,18:20:04,Gray Squirrel,1
29,2/22/2021,18:35:21,Groundhog,1
29,2/22/2021,14:40:14,Person,1
29,2/23/2021,16:09:03,Gray Squirrel,1
29,2/24/2021,11:07:30,Bird,1
29,2/24/2021,11:14:42,Bird,1
29,2/25/2021,8:34:22,Domestic Cat,1
29,2/25/2021,11:13:47,Domestic Cat,1
29,2/26/2021,15:43:14,Bird,1
29,2/26/2021,12:25:24,Domestic Cat,1
29,2/26/2021,21:44:29,Domestic Cat,1
29,2/26/2021,23:08:28,Domestic Cat,1
29,2/26/2021,23:15:51,Domestic Cat,1
29,2/26/2021,22:46:44,45 Opossum,1
29,2/27/2021,8:19:35,Bird,1
29,2/27/2021,15:51:22,Groundhog,1
29,2/28/2021,16:19:55,Groundhog,1
29,2/28/2021,22:26:18,45 Opossum,1
29,3/1/2021,18:19:43,Gray Squirrel,1
29,3/1/2021,18:10:11,Groundhog,1
29,3/2/2021,17:16:03,Groundhog,1
29,3/2/2021,23:27:01,45 Opossum,1
29,3/3/2021,22:57:41,Domestic Cat,1
29,3/3/2021,23:10:43,Domestic Cat,1
29,3/3/2021,17:47:04,Groundhog,1
29,3/4/2021,12:09:33,Bird,1
29,3/4/2021,8:15:15,Domestic Cat,1
29,3/5/2021,13:50:40,Bird,1
29,3/5/2021,19:00:13,Bird,1
29,3/5/2021,14:30:36,Groundhog,1
29,3/5/2021,18:23:57,Groundhog,1
29,3/6/2021,16:18:32,Bird,1
29,3/6/2021,14:51:25,Groundhog,1
29,3/6/2021,15:54:56,Groundhog,1
29,3/7/2021,9:19:15,Bird,1
29,3/7/2021,11:34:13,Bird,1
29,3/7/2021,17:52:47,Bird,1
29,3/7/2021,17:53:16,Bird,1
29,3/7/2021,12:10:32,Domestic Cat,1
29,3/7/2021,14:37:53,Groundhog,1
29,3/7/2021,15:45:30,Groundhog,1
29,3/7/2021,17:29:22,Groundhog,1
29,3/8/2021,10:38:44,Groundhog,1
29,3/8/2021,11:06:09,Groundhog,1
29,3/8/2021,14:34:39,Groundhog,1
29,3/8/2021,15:01:35,Groundhog,1
29,3/8/2021,17:32:51,Groundhog,1
29,3/9/2021,14:17:23,Groundhog,1
29,3/9/2021,16:27:40,Groundhog,1
29,3/10/2021,8:28:56,Bird,1
29,3/10/2021,20:36:24,Domestic Cat,1
29,3/10/2021,15:31:39,Groundhog,1
29,3/10/2021,18:01:38,Groundhog,1
29,3/11/2021,19:04:03,Bird,1
29,3/11/2021,12:25:57,Groundhog,1
29,3/11/2021,12:35:22,Groundhog,1
29,3/11/2021,12:45:33,Groundhog,1
29,3/11/2021,13:35:02,Groundhog,1
29,3/11/2021,18:33:45,Groundhog,1
29,3/12/2021,8:21:21,Bird,1
29,3/12/2021,11:47:41,Domestic Cat,1
29,3/12/2021,13:20:08,Domestic Cat,1
29,3/12/2021,15:12:38,Domestic Cat,1
29,3/12/2021,14:46:26,Groundhog,1
29,3/13/2021,18:15:28,Gray Squirrel,1
29,3/13/2021,13:06:17,Groundhog,1
29,3/13/2021,13:31:33,Groundhog,1
29,3/14/2021,12:32:41,Bird,1
29,3/14/2021,19:06:13,Bird,1
29,3/14/2021,8:44:23,Domestic Cat,1
29,3/14/2021,17:20:57,Domestic Cat,1
29,3/14/2021,12:59:29,Groundhog,1
29,3/14/2021,17:11:07,Groundhog,1
29,3/15/2021,18:45:33,Bird,1
29,3/15/2021,12:37:05,Domestic Cat,1
29,3/15/2021,11:35:56,Groundhog,1
29,3/15/2021,22:57:33,45 Opossum,1
29,3/16/2021,11:06:47,Bird,1
29,3/16/2021,11:36:11,Bird,1
29,3/16/2021,12:49:57,Bird,1
29,3/16/2021,16:04:20,Bird,1
29,3/16/2021,16:43:48,Bird,1
29,3/16/2021,17:01:28,Bird,1
29,3/16/2021,17:11:15,Bird,1
29,3/16/2021,13:23:13,Groundhog,1
29,3/16/2021,13:38:07,Groundhog,1
29,3/16/2021,13:45:36,Groundhog,1
29,3/16/2021,13:57:39,Groundhog,1
29,3/16/2021,15:09:10,Groundhog,1
29,3/17/2021,12:08:32,Bird,1
29,3/17/2021,12:09:38,Bird,1
29,3/17/2021,12:14:47,Bird,1
29,3/17/2021,12:32:54,Bird,1
29,3/17/2021,13:13:22,Bird,1
29,3/17/2021,17:34:59,Bird,1
29,3/17/2021,18:42:13,Domestic Cat,1
29,3/17/2021,16:30:58,Gray Squirrel,1
29,3/17/2021,18:02:21,Gray Squirrel,1
29,3/18/2021,15:09:59,Bird,1
29,3/18/2021,15:58:30,Bird,1
29,3/18/2021,15:35:04,Groundhog,1
29,3/18/2021,16:50:17,Groundhog,1
29,3/19/2021,18:38:16,Groundhog,1
29,3/20/2021,17:46:44,Bird,1
29,3/20/2021,15:07:42,Groundhog,1
29,3/20/2021,18:48:24,Groundhog,1
29,3/21/2021,8:32:13,Gray Squirrel,1
29,3/21/2021,15:37:58,Groundhog,1
29,3/21/2021,17:44:25,Groundhog,1
29,3/21/2021,21:20:57,White-tailed Deer,1
29,3/22/2021,10:27:02,Chipmunk,1
29,3/23/2021,10:24:52,Bird,1
29,3/24/2021,10:44:55,Bird,1
29,3/24/2021,13:01:09,Bird,1
29,3/24/2021,15:01:44,Groundhog,1
29,3/24/2021,15:02:47,Groundhog,1
29,3/24/2021,20:24:12,Groundhog,1
29,3/24/2021,21:13:12,Nine-banded Armadillo,1
4,3/25/2021,16:55:29,Gray Squirrel,1
