Yard,Date of Detection,Time of Detection,Species Detected,Number of the Species Detected in the Photo,Sunset Time,Sunrise Time,Number of Bird Feeders,Area of Garden (m^2),Fence Type,Poultry Presence,Relative Abundance of Dogs,Relative Abundance of Predators,Forest Cover within 400m of camera (km^2),Open Land Cover within 400m of camera (km^2),Agricultural Land Cover within 400m of camera (km^2),Developed Land Cover within 400m of camera (km^2),Maximum Housing Unit Density within a 400m buffer (Houses/km^2),Year,Simpson Diversity,Richness,Mesopredator Richness,Meso_Diversity,Herb_Richness,Herb_Div,Forest Cover within 1.5km of camera (km^2),Open Land Cover within 1.5km of camera (km^2),Agricultural Land Cover within 1.5km of camera (km^2),Developed Land Cover within 1.5km of camera (km^2) (High and Medium),Developed Land Cover within 1.5km of camera (km^2) (Low),Number of Water Sources,Area of Potential Den Sites (m^2),Volume of Brush Piles (m^3),Volume of Firewood Piles (m^3),Area of Compost Piles (m^2),Temperature 1,Temperature 2,Temperature 3,Temperature 4,Temperature 5,Temperature 6,Temperature 7,Temperature 8,Temperature 9,Temperature 10,Temperature 11,Temperature 12,Temperature 13,Temperature 14,Temperature 15,Precipitation 1,Precipitation 2,Precipitation 3,Precipitation 4,Precipitation 5,Precipitation 6,Precipitation 7,Precipitation 8,Precipitation 9,Precipitation 10,Precipitation 11,Precipitation 12,Precipitation 13,Precipitation 14,Precipitation 15
92,5/7/2021,16:26:39,Gray Squirrel,1,20:10,6:18,0,220,1,1,0.01,0.05,0.44894,0.029566,0.002753,0.021229,50.24,2021,0.78895877,3,1,0.007661,3,0.0059576,0,0.040885,0,0.225173,0.236431,0,0,0,0,0,58.5,66.6,69.5,62.4,75.1,79.6,75,77,75.7,74.7,75.8,82,76.3,82.4,77.5,77.5,1,2,3,4,5,6,7,8,9,1,11,12,13,14
98,5/7/2021,19:05:41,White-tailed Deer,1,20:10,6:18,4,65.1,0,0,0.01,0.05,0.44894,0.029566,0.002753,0.021229,50.24,2021,0.436220158,6,3,0.595628415,3,0,0.44894,0.029566,0.002753,0.0009,0.020329,4,0,65.1,0.3,1,58.5,66.6,69.5,62.4,75.1,79.6,75,77,75.7,74.7,75.8,82,76.3,82.4,77.5,77.5,1,2,3,4,5,6,7,8,9,1,11,12,13,14
38,5/8/2021,14:14:09,Bird,1,20:11,6:17,2,37.1,0,0,0.05,0.01,0.345266,0.023279,0.092613,0.014373,16.71,2021,0.493668342,7,2,0.767741935,3,0.985815603,0.345266,0.023279,0.092613,0.0018,0.012573,2,120.4,48.2,11.1,2.7,58.5,66.6,69.5,62.4,75.1,79.6,75,77,75.7,74.7,75.8,82,76.3,82.4,77.5,77.5,1,2,3,4,5,6,7,8,9,1,11,12,13,14
39,5/8/2021,16:31:11,Person,1,20:11,6:17,5,36.34,0,0,0.05,0.01,0.345266,0.023279,0.092613,0.014373,16.71,2021,0.019931686,3,2,0.564428312,3,0,0.227443,0.073858,0.184415,0.006863,0.00991,6,24.15,0,0,1,58.5,66.6,69.5,62.4,75.1,79.6,75,77,75.7,74.7,75.8,82,76.3,82.4,77.5,77.5,1,2,3,4,5,6,7,8,9,1,11,12,13,14
39,5/8/2021,17:45:40,Person,1,20:11,6:17,5,36.34,0,0,0.05,0.01,0.345266,0.023279,0.092613,0.014373,16.71,2021,0.019931686,3,2,0.564428312,3,0,0.227443,0.073858,0.184415,0.006863,0.00991,6,24.15,0,0,1,58.5,66.6,69.5,62.4,75.1,79.6,75,77,75.7,74.7,75.8,82,76.3,82.4,77.5,77.5,1,2,3,4,5,6,7,8,9,1,11,12,13,14
39,5/8/2021,18:51:02,Person,1,20:11,6:17,5,36.34,0,0,0.05,0.01,0.345266,0.023279,0.092613,0.014373,16.71,2021,0.019931686,3,2,0.564428312,3,0,0.227443,0.073858,0.184415,0.006863,0.00991,6,24.15,0,0,1,58.5,66.6,69.5,62.4,75.1,79.6,75,77,75.7,74.7,75.8,82,76.3,82.4,77.5,77.5,1,2,3,4,5,6,7,8,9,1,11,12,13,14
39,5/8/2021,19:48:00,Person,1,20:11,6:17,5,36.34,0,0,0.05,0.01,0.345266,0.023279,0.092613,0.014373,16.71,2021,0.019931686,3,2,0.564428312,3,0,0.227443,0.073858,0.184415,0.006863,0.00991,6,24.15,0,0,1,58.5,66.6,69.5,62.4,75.1,79.6,75,77,75.7,74.7,75.8,82,76.3,82.4,77.5,77.5,1,2,3,4,5,6,7,8,9,1,11,12,13,14
39,5/8/2021,22:01:27,45 Opossum,1,20:11,6:17,5,36.34,0,0,0.05,0.01,0.345266,0.023279,0.092613,0.014373,16.71,2021,0.019931686,3,2,0.564428312,3,0,0.227443,0.073858,0.184415,0.006863,0.00991,6,24.15,0,0,1,58.5,66.6,69.5,62.4,75.1,79.6,75,77,75.7,74.7,75.8,82,76.3,82.4,77.5,77.5,1,2,3,4,5,6,7,8,9,1,11,12,13,14
39,5/8/2021,23:48:43,45 Opossum,1,20:11,6:17,5,36.34,0,0,0.05,0.01,0.345266,0.023279,0.092613,0.014373,16.71,2021,0.019931686,3,2,0.564428312,3,0,0.227443,0.073858,0.184415,0.006863,0.00991,6,24.15,0,0,1,58.5,66.6,69.5,62.4,75.1,79.6,75,77,75.7,74.7,75.8,82,76.3,82.4,77.5,77.5,1,2,3,4,5,6,7,8,9,1,11,12,13,14
53,5/8/2021,14:37:34,Person,1,20:11,6:17,7,7.897,0,0,0.02,0,0.346785,0.06729,0.04204,0.030647,56.98,2021,0.56801115,10,5,0.227021041,3,0.983739837,0.346785,0.06729,0.04204,0.0036,0.027047,8,0,7.897,0,0,58.5,66.6,69.5,62.4,75.1,79.6,75,77,75.7,74.7,75.8,82,76.3,82.4,77.5,77.5,1,2,3,4,5,6,7,8,9,1,11,12,13,14
